Niederlande;USA;Sa., 3. Dezember 2022;16:00 Uhr MEZ;ar-Rayyan (Khalifa International Stadium);3:1
Argentinien;Australien;Sa., 3. Dezember 2022;20:00 Uhr MEZ;ar-Rayyan (Ahmed bin Ali Stadium);2:1
Frankreich;Polen;So., 4. Dezember 2022;16:00 Uhr MEZ;al-Chaur (al-Bayt-Stadion);3:1
England;Senegal;So., 4. Dezember 2022;20:00 Uhr MEZ;Doha (al-Thumama-Stadion);3:0
Japan;Kroatien;Mo., 5. Dezember 2022;16:00 Uhr MEZ;al-Wakra (al-Janoub Stadium);
Brasilien;Südkorea;Mo., 5. Dezember 2022;20:00 Uhr MEZ;Doha (Stadium 974);
Marokko;Spanien;Di., 6. Dezember 2022;16:00 Uhr MEZ;ar-Rayyan (Education City Stadium);
Portugal;Schweiz;Di., 6. Dezember 2022;20:00 Uhr MEZ;Lusail (Lusail Iconic Stadium);
Gewinner AF 5;Gewinner AF 6;Fr., 9. Dezember 2022;16:00 MEZ;Lusail (Lusail Iconic Stadium);
Niederlande;Argentinien;Fr., 9. Dezember 2022;20:00 MEZ;ar-Rayyan (Education City Stadium);
Gewinner AF 7;Gewinner AF 8;Sa., 10. Dezember 2022;16:00 MEZ;al-Chaur (al-Bayt-Stadion);
England;Frankreich;Sa., 10. Dezember 2022;20:00 MEZ;Doha (al-Thumama-Stadion);
Gewinner VF 1;Gewinner VF 2;Di., 13. Dezember 2022;20:00 MEZ;Lusail (Lusail Iconic Stadium);
Gewinner VF 3;Gewinner VF 4;Mi., 14. Dezember 2022;20:00 MEZ;al-Chaur (al-Bayt-Stadion);
Verlierer HF 1;Verlierer HF 2;Sa., 17. Dezember 2022;16:00 MEZ;ar-Rayyan (Khalifa International Stadium);
Gewinner HF 1;Gewinner HF 2;18. Dezember 2022;16:00 MEZ;Lusail (Lusail Iconic Stadium);
